symbol,tier,sector,day0_date,surprise_percentage,pnl_pct
ICUI,mid,Healthcare,2018-03-02,187.46,-6.903371480882354
ICUI,mid,Healthcare,2018-05-10,22.83,-2.8341001978745703
ICUI,mid,Healthcare,2018-08-10,46.15,0.41705095971219164
ICUI,mid,Healthcare,2018-11-09,22.79,-9.315761864712709
ICUI,mid,Healthcare,2019-03-01,14.79,-1.7392166693466427
ICUI,mid,Healthcare,2019-05-10,19.08,0.5633919822224113
ICUI,mid,Healthcare,2019-08-08,-3.24,-32.4236168612144
ICUI,mid,Healthcare,2019-11-12,2.06,-5.285858568768525
ICUI,mid,Healthcare,2020-02-28,16.87,-0.15654557174784944
ICUI,mid,Healthcare,2020-05-08,11.27,-7.070515133340318
ICUI,mid,Healthcare,2020-08-11,33.06,-6.868331667959468
ICUI,mid,Healthcare,2020-11-06,45.41,1.4694385436489832
ICUI,mid,Healthcare,2021-02-26,17.22,-3.9301623008692355
ICUI,mid,Healthcare,2021-05-07,7.76,-4.483419927836421
ICUI,mid,Healthcare,2021-08-05,14.63,0.35362288338611736
ICUI,mid,Healthcare,2021-11-04,15.21,1.0485470989693206
ICUI,mid,Healthcare,2022-02-25,10.75,-4.608078308486617
ICUI,mid,Healthcare,2022-05-10,2.06,-6.464329545383602
ICUI,mid,Healthcare,2022-08-09,-17.47,-10.082551444192166
ICUI,mid,Healthcare,2022-11-08,19.59,-0.6580361484785964
ICUI,mid,Healthcare,2023-02-28,2.56,-2.7584102604932017
ICUI,mid,Healthcare,2023-05-09,21.96,-12.37367535479239
ICUI,mid,Healthcare,2023-08-08,17.5,-15.010691729959381
ICUI,mid,Healthcare,2023-11-07,13.36,-15.414872154735793
ICUI,mid,Healthcare,2024-02-28,31.66,-2.5022688248406144
ICUI,mid,Healthcare,2024-05-08,17.07,0.25515767363992947
